,title,content,date,link
0,В Московском Политехе обсудили развитие финансового рынка на «Финатлон форуме»," На базе Московского политехнического университета 17 ноября прошел финальный этап Международной научно-практической конференции «Финатлон форум», на котором студенты и молодые специалисты со всей страны презентовали свои научные статьи.   В очном этапе форума приняли участие м...",22Ноября 2022,https://mospolytech.ru/news/v-moskovskom-politekhe-obsudili-razvitie-finansovogo-rynka-na-finatlon-forume/
1,В Московском Политехе рассмотрели тенденции цифровой трансформации общества,"В Московском политехническом университете 21 ноября прошла Международная конференция «Цифровая трансформация общества: тенденции и перспективы». Участие в форуме приняли ученые и преподаватели ведущих российских, казахских и других зарубежных вузов, эксперты, студенты и школьники. На пленарн...",22Ноября 2022,https://mospolytech.ru/news/v-moskovskom-politekhe-rassmotreli-tendentsii-tsifrovoy-transformatsii-obshchestva/
2, «Приоритет 2030»: Московский Политех и Курганский госуниверситет заключили соглашение о сотрудничестве,"Московский политехнический университет и Курганский государственный университет решили объединить усилия в области совершенствования подготовки кадров, а также в рамках реализации программы стратегического академического лидерства «Приоритет-2030».  Среди совместных задач в подписанном сог...",22Ноября 2022,https://mospolytech.ru/news/-prioritet-2030-moskovskiy-politekh-i-kurganskiy-gosuniversitet-zaklyuchili-soglashenie-o-sotrudnich/
3,Медийщики Московского Политеха представят вуз на форуме PRКИТ в Санкт-Петербурге," Студенты Московского политехнического университета с 26 по 29 ноября представят вуз на XIV Всероссийском форуме по связям с общественностью в сфере кино и телевидения PRКИТ 2022 в Санкт-Петербурге.  PRКИТ – это социально-образовательный проект, который объединит молодых специа...",22Ноября 2022,https://mospolytech.ru/news/mediyshchiki-moskovskogo-politekha-predstavyat-vuz-na-forume-prkit-v-sankt-peterburge/
4,Вокалисты Московского Политеха выступят на конкурсе «Золотой голос»,"В Московском политехническом университете пройдет ежегодный главный вокальный конкурс университета — «Золотой голос». Мероприятие состоится 1 декабря в 18:30, на концерт приглашают всех студентов вуза. Прежде чем выступить на большой сцене вокалисты прошли этап прослушивания. В этом году в о...",22Ноября 2022,https://mospolytech.ru/news/vokalisty-moskovskogo-politekha-vystupyat-na-konkurse-zolotoy-golos/
5,На «Интерфесте» иностранные студенты Московского Политеха угощали гостей национальными блюдами,"Международный фестиваль-конкурс национальных культур стартовал в Московском Политехе с самой вкусной номинации – конкурса «Национальная кухня». Свои блюда представили команды Индии, Сербии, Албании, Сирии, Бангладеша, Мексики, Кыргызстана, Шри-Ланки, Афганистана, Таджикистана, Узбекистана, Пале...",21Ноября 2022,https://mospolytech.ru/news/na-interfeste-inostrannye-studenty-moskovskogo-politekha-ugoshchali-gostey-natsionalnymi-blyudami/
6,В Московском Политехе на форуме «Автонет» обсудили подготовку кадров для автопрома,"В Московском Политехе завершился Международный форум профессионалов рынка Автонет «Стратегия развития автомобильной отрасли 2035». Первый день форума участники посвятили обсуждению таких тем, как «Стратегии развития автомобильной отрасли 2035: достижение технологического суверенитета»; «Электромо...",21Ноября 2022,https://mospolytech.ru/news/v-moskovskom-politekhe-na-forume-avtonet-obsudili-podgotovku-kadrov-dlya-avtoproma/
7,Интеллектуальный батл между учеными пройдет в Московском Политехе,На базе Московского политехнического университета состоится интеллектуальное соревнование между учеными в рамках проекта «Ученый говорит». Студентов вуза приглашают к участию в качестве слушателей. Участники события узнают о главных открытиях и актуальных идеях современной науки. Россий...,21Ноября 2022,https://mospolytech.ru/news/intellektualnyy-batl-mezhdu-uchenymi-proydet-v-moskovskom-politekhe/
8,Студенты познакомились с работодателями на Карьерном марафоне Московского Политеха,"В Московском политехническом университете студенты с 14 по 18 ноября посетили множество активностей Карьерного марафона и познакомились с будущими работодателями на выставках компаний – индустриальных партнеров и экскурсиях по производствам, прошли серию тренингов и мастер-классов от выпуск...",21Ноября 2022,https://mospolytech.ru/news/studenty-poznakomilis-s-rabotodatelyami-na-karernom-marafone-moskovskogo-politekha/
9,Представители Московского Политеха приняли участие в первой образовательной выставке в Пакистане,Русский Дом в Карачи (Пакистан) организовал образовательную выставку Study in Russia Expo и рассказал будущим абитуриентам о возможностях российских вузов. В мероприятии приняли участие представители Московского политехнического университета.  Представители Московского Политеха приняли ...,21Ноября 2022,https://mospolytech.ru/news/predstaviteli-moskovskogo-politekha-prinyali-uchastie-v-pervoy-obrazovatelnoy-vystavke-v-pakistane/
